,1-0-5-16S,1239-0-5-16S,1250-0-5-16S,13-0-5-16S,1338-0-5-16S,1387-0-5-16S,522-0-5-16S,856-0-5-16S,98-0-5-16S,1601-0-5-16S,1619-0-5-16S,1832-0-5-16S,1850-0-5-16S,1859-0-5-16S,1875-0-5-16S,1973-0-5-16S,2355-0-5-16S,2352-0-5-16S,2597-0-5-16S,2398-0-5-16S,2500-0-5-16S,2537-0-5-16S,2629-0-5-16S,2869-0-5-16S,2893-0-5-16S,2923-0-5-16S,3239-0-5-16S,3381-0-5-16S,3409-0-5-16S,3500-0-5-16S,3667-0-5-16S,3682-0-5-16S,3779-0-5-16S,3907-0-5-16S,473-0-5-16S,554-0-5-16S,672-0-5-16S,717-0-5-16S
ASV10092,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000599633,0,0,0,0,0,0
ASV10094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000337293,0,0,0,0,0,0
ASV10095,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000187385,0,0,0,0,0,0
ASV10096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV10099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV101,0.005108079,0,0,0,0,0,0,0,0.002977254,0,0,0,0.002713921,0.002313679,0,0.001356034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003035641,0.002839848,0.002153125,0.002308469,0,0,0.003804507
ASV1010,0,0.004088934,0,0,0.000611781,0,0.000507173,0.000233791,0,0,0,0,0,0,0,0,0.000308528,0,0,0,0.000789779,0.001059659,0.002901609,0,0,0,0,0,0,0,0,0,0,0,0,0.000302674,0.000947718,0
