,1239-5-10-amf,1250-5-10-amf,13-5-10-amf,1387-5-10-amf,522-5-10-amf,672-5-10-amf,717-5-10-amf,856-5-10-amf,98-5-10-amf,1859-5-10-AMF,1601-5-10-AMF,1619-5-10-AMF,1832-5-10-AMF,1850-5-10-AMF,1875-5-10-AMF,1973-5-10-AMF,2355-5-10-AMF,2398-5-10-AMF,2500-5-10-AMF,2537-5-10-AMF,2597-5-10-AMF,2629-5-10-AMF,2893-5-10-AMF,2923-5-10-AMF,2869-5-10-AMF,3239-5-10-AMF,3381-5-10-AMF,3409-5-10-AMF,3667-5-10-AMF,3682-5-10-AMF,3779-5-10-AMF,3907-5-10-AMF,473-5-10-AMF,554-5-10-AMF
ASV1478,0,0,0,0,0,0,0.000718391,0,0.001072961,0.002098196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001796622,0,0,0,0.000412882,0,0,0
ASV1490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006099749,0,0,0,0,0,0,0,0,0,0,0
ASV832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004340749,0,0,0,0,0.000564175,0,0,0,0.001203369,0,0,0,0,0
ASV446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006111111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2377,0,0,0,0.006133259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1155,0,0.00625071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV3009,0,0,0,0,0,0,0,0,0,0.006294587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1751,0,0,0,0,0,0,0,0,0,0,0.001276324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005054152,0,0,0,0,0
ASV762,0,0.003977725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002647413,0,0,0,0,0
ASV1022,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006828852,0,0,0,0,0,0,0,0
ASV466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006828852,0,0,0,0,0,0,0,0
ASV2132,0,0,0,0,0,0,0.005747126,0,0,0,0,0,0,0,0,0,0,0,0,0.001085187,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1811,0,0,0,0,0,0,0,0.000715308,0,0,0,0,0,0,0,0,0,0.00621118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1821,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007036747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1540,0,0,0.007061039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV667,0,0,0.007061039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2464,0,0,0,0,0,0,0,0,0,0.007133865,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV2546,0,0,0,0,0,0,0,0.007153076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV315,0,0,0,0,0,0,0,0.007153076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASV1168,0,0.002613933,0,0,0,0,0,0,0,0,0,0,0.000374532,0,0,0,0,0,0,0,0.003133245,0,0,0,0,0,0,0.001052632,0,0,0,0,0,0
ASV3717,0,0,0,0,0,0,0.007183908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
